name,free_returns,items_sold,status,price,shipping
"16"" Welding Gloves Heat Resistant Unibody Cow Split Leather BBQ Cooking",True,,Brand New,1199,
"First Glove Black Nitrile Light Industrial Disposable Gloves 3 Mil, Latex Free",True,,Brand New,999,
"X3 Black Nitrile Light Industrial Disposable Gloves 3 Mil, Latex Free, Food-Safe",True,,Brand New,1200,0
"GLOVEWORKS HD Orange Nitrile Disposable Gloves 8 Mil, Diamond Texture",True,,Brand New,2500,0
"MESH Butcher Meat Cutting Glove Stainless Steel  Cut Resistant Gloves, large",False,,Pre-Owned,798,1000
WOLF Ultra-Thin Black Work Gloves Polyurethane Palm Coated Nylon Shell 12 Pairs,True,,Brand New,1295,
"Kingfa Nitrile Disposable Exam/Medical Gloves 3 Mil, Latex & Powder Free",True,,Brand New,979,
"Schneider Black Nitrile Disposable Gloves 5.5 Mil, Latex & Powder Free",True,261,Brand New,1359,
Magnetic Finger Original Finger Glove Magnet on Finger Tip by TurnPro,True,950,Brand New,1139,
"AMMEX Black Nitrile Disposable Exam/Medical Gloves 3 Mil, Latex & Powder Free,",True,0,Brand New,1300,0
McKesson Exam Glove Powder Free MEDIUM 14-116 100 per Box,True,0,Brand New,799,
Memphis N9690 Ninja Ice Insulated Cold Weather Winter WORK GLOVES 1 PAIR SM-2XL,True,,Brand New,885,0
Nintendo Nes Original OEM Authentic *Pick Your Game* Cart Only Cleaned & Tested,True,,Pre-Owned,99,399
12 PAIRS CONDOR COATED BLACK/GREY WORK GLOVE 100% NYLON SHELL PU PALM (XXS-3XL),False,,Brand New,1499,
Thermal Windproof Waterproof Winter Gloves Touch Screen Warm Mittens Men Women,True,,Brand New,821,
DEWALT DPG216 Leather Performance Hybrid Glove,True,,Brand New,1099,
WOLF Ultra-Thin Grey Work Gloves Polyurethane Palm Coated Nylon Shell 12 Pairs,True,,Brand New,1295,
Tillman 1450 Mens Split Cowhide Lined Warm Winter Work Gloves Insulated MED-2XL,True,,Brand New,1399,0
Honeywell Super Glove M,False,,Pre-Owned,3500,0
PIP 34-874 MaxiFlex ATG Ultimate Nitrile Micro Foam Coated WORK GLOVES XXSM-3XL,True,,Brand New,799,0
"First Glove Black Nitrile Disposable Gloves Powder Latex Free 3, 5, & 6 Mil",True,68,Brand New,999,
"Nintendo NES Games Custom Build Lot-Cleaned Pins, Tested,DISCOUNT FAST SHIPPING",True,,Pre-Owned,199,379
GLOVEWORKS Industrial Black Disposable Nitrile Gloves  5 Mil Latex & Powder Free,True,,Brand New,1760,0
"100 Nitrile Disposable Medical Exam Gloves 3.5 Mil. (Vinyl, Latex, Powder Free)",False,,Brand New,1299,
Lion Commander Crosstech Used Structural Firefighting L XL XXL Gloves Mfg2013-16,False,,Pre-Owned,2395,
Kinco Thermal Reflective Gloves,False,,Brand New,1500,610
Vintage Wells Lamont Medium Leather Adjustable Driver Saddletan Gloves - VGC,True,,Pre-Owned,3000,610
Salisbury Gloves 10 CLASS 2 17000 volt D120 And Leather Glove Protector With Bag,False,,Pre-Owned,2550,2290
"WAVE Blue Nitrile Disposable Exam/Medical Gloves 4 Mil, Latex & Powder Free",True,1102,Brand New,995,
3 Pack DEWALT DPG216 Leather Performance Hybrid Glove,True,,Brand New,2499,
100pcs 5 Mils Black Nitrile Gloves Latex & Powder Free Heavy Duty Gloves,True,,Brand New,1500,0
"100/Box 7 mils Black Nitrile Gloves, Powder and Latex Free, Premium Quality",True,,Brand New,1800,0
Salisbury Class 2 Lineman Size 10.5 Rubber Gloves Sleeves Leather Protectors&Bag,False,,Pre-Owned,26995,2586
Huge rubber chemical glove 19 Pairs lot! Brunswick,False,,Brand New,3000,2026
DEWALT DPG750 Insulated Waterproof Cold Weather Lined Warm Winter WORK GLOVES XL,True,,Brand New,2095,0
